"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","7.0978","7.0880","7.1135","7.0880","","-0.14%"
"12/28/2023","7.1080","7.1311","7.1311","7.0988","","-0.46%"
"12/27/2023","7.1405","7.1456","7.1498","7.1410","","-0.04%"
"12/26/2023","7.1432","7.1363","7.1469","7.1363","","0.10%"
"12/25/2023","7.1361","7.1340","7.1388","7.1305","","0.06%"
"12/22/2023","7.1315","7.1431","7.1509","7.1240","","-0.09%"
"12/21/2023","7.1381","7.1391","7.1494","7.1387","","0.04%"
"12/20/2023","7.1355","7.1252","7.1415","7.1252","","0.10%"
"12/19/2023","7.1287","7.1362","7.1473","7.1294","","-0.07%"
"12/18/2023","7.1335","7.1253","7.1361","7.1252","","0.22%"
"12/15/2023","7.1179","7.1201","7.1259","7.0978","","0.13%"
"12/14/2023","7.1088","7.1339","7.1385","7.1041","","-0.89%"
"12/13/2023","7.1725","7.1796","7.1859","7.1729","","-0.04%"
"12/12/2023","7.1755","7.1741","7.1787","7.1666","","0.00%"
"12/11/2023","7.1755","7.1763","7.1883","7.1760","","0.15%"
"12/08/2023","7.1645","7.1512","7.1672","7.1505","","0.20%"
"12/07/2023","7.1505","7.1600","7.1617","7.1482","","-0.12%"
"12/06/2023","7.1590","7.1564","7.1597","7.1546","","0.18%"
"12/05/2023","7.1463","7.1416","7.1497","7.1413","","0.05%"
"12/04/2023","7.1424","7.1275","7.1430","7.1275","","0.05%"
"12/01/2023","7.1386","7.1350","7.1472","7.1280","","0.04%"
"11/30/2023","7.1360","7.1372","7.1398","7.1189","","0.08%"
"11/29/2023","7.1300","7.1192","7.1309","7.1184","","-0.23%"
"11/28/2023","7.1463","7.1532","7.1544","7.1463","","-0.09%"
"11/27/2023","7.1528","7.1426","7.1572","7.1420","","0.06%"
"11/24/2023","7.1488","7.1430","7.1554","7.1427","","0.05%"
"11/23/2023","7.1455","7.1522","7.1540","7.1365","","-0.13%"
"11/22/2023","7.1550","7.1363","7.1565","7.1363","","0.28%"
"11/21/2023","7.1352","7.1387","7.1425","7.1266","","-0.46%"
"11/20/2023","7.1680","7.1995","7.2073","7.1638","","-0.60%"
"11/17/2023","7.2111","7.2425","7.2490","7.2043","","-0.43%"
"11/16/2023","7.2422","7.2525","7.2616","7.2420","","-0.06%"
"11/15/2023","7.2466","7.2611","7.2625","7.2337","","-0.09%"
"11/14/2023","7.2530","7.2864","7.2954","7.2533","","-0.49%"
"11/13/2023","7.2884","7.2947","7.2980","7.2888","","-0.01%"
"11/10/2023","7.2891","7.2881","7.2937","7.2880","","0.08%"
"11/09/2023","7.2835","7.2779","7.2874","7.2766","","0.05%"
"11/08/2023","7.2800","7.2772","7.2819","7.2658","","0.02%"
"11/07/2023","7.2788","7.2758","7.2868","7.2755","","0.13%"
"11/06/2023","7.2695","7.2873","7.2887","7.2667","","-0.42%"
"11/03/2023","7.3005","7.3173","7.3187","7.3012","","-0.21%"
"11/02/2023","7.3160","7.3158","7.3194","7.3148","","-0.02%"
"11/01/2023","7.3175","7.3158","7.3198","7.3158","","0.02%"
"10/31/2023","7.3158","7.3163","7.3193","7.3148","","0.03%"
"10/30/2023","7.3133","7.3148","7.3186","7.3134","","-0.05%"
"10/27/2023","7.3170","7.3147","7.3189","7.3147","","0.03%"
"10/26/2023","7.3150","7.3169","7.3195","7.3141","","-0.02%"
"10/25/2023","7.3165","7.3068","7.3179","7.3060","","0.10%"
"10/24/2023","7.3090","7.3062","7.3127","7.2980","","-0.09%"
"10/23/2023","7.3158","7.3135","7.3182","7.3134","","0.00%"
"10/20/2023","7.3155","7.3117","7.3184","7.3076","","0.04%"
"10/19/2023","7.3126","7.3116","7.3179","7.3115","","-0.03%"
"10/18/2023","7.3151","7.3112","7.3172","7.2984","","0.06%"
"10/17/2023","7.3105","7.3111","7.3167","7.3091","","0.00%"
"10/16/2023","7.3105","7.3089","7.3142","7.3070","","0.08%"
"10/13/2023","7.3049","7.3063","7.3090","7.3012","","0.04%"
"10/12/2023","7.3019","7.2983","7.3038","7.2920","","0.04%"
"10/11/2023","7.2992","7.2907","7.3036","7.2907","","0.06%"
"10/10/2023","7.2948","7.2758","7.2997","7.2758","","0.05%"
"10/09/2023","7.2911","7.3019","7.3022","7.2835","","-0.14%"
"09/28/2023","7.3010","7.3089","7.3124","7.3001","","-0.13%"
"09/27/2023","7.3105","7.2923","7.3128","7.2913","","0.01%"
"09/26/2023","7.3100","7.3078","7.3127","7.3021","","-0.01%"
"09/25/2023","7.3110","7.2993","7.3128","7.2993","","0.18%"
"09/22/2023","7.2980","7.3019","7.3042","7.2960","","-0.12%"
"09/21/2023","7.3066","7.2893","7.3094","7.2889","","0.27%"
"09/20/2023","7.2870","7.2939","7.2996","7.2879","","-0.14%"
"09/19/2023","7.2970","7.2939","7.2985","7.2896","","0.08%"
"09/18/2023","7.2915","7.2829","7.2978","7.2793","","0.24%"
"09/15/2023","7.2744","7.2804","7.2821","7.2471","","-0.04%"
"09/14/2023","7.2770","7.2732","7.2804","7.2703","","0.10%"
"09/13/2023","7.2700","7.2842","7.2906","7.2692","","-0.29%"
"09/12/2023","7.2910","7.2872","7.2959","7.2818","","0.04%"
"09/11/2023","7.2882","7.3236","7.3254","7.2709","","-0.75%"
"09/08/2023","7.3430","7.3424","7.3504","7.3344","","0.20%"
"09/07/2023","7.3287","7.3165","7.3299","7.3165","","0.17%"
"09/06/2023","7.3160","7.3208","7.3220","7.3032","","0.16%"
"09/05/2023","7.3040","7.2778","7.3080","7.2778","","0.44%"
"09/04/2023","7.2723","7.2617","7.2743","7.2574","","0.16%"
"09/01/2023","7.2606","7.2449","7.2663","7.2448","","0.03%"
"08/31/2023","7.2582","7.2837","7.2919","7.2570","","-0.35%"
"08/30/2023","7.2839","7.2819","7.2940","7.2810","","0.06%"
"08/29/2023","7.2796","7.2875","7.2955","7.2804","","-0.14%"
"08/28/2023","7.2900","7.2687","7.2957","7.2687","","0.01%"
"08/25/2023","7.2890","7.2786","7.2918","7.2786","","0.14%"
"08/24/2023","7.2786","7.2771","7.2860","7.2689","","0.02%"
"08/23/2023","7.2771","7.2862","7.2940","7.2759","","-0.22%"
"08/22/2023","7.2930","7.2675","7.2980","7.2675","","0.09%"
"08/21/2023","7.2865","7.2968","7.3155","7.2768","","0.09%"
"08/18/2023","7.2800","7.2658","7.2958","7.2658","","-0.15%"
"08/17/2023","7.2910","7.3090","7.3173","7.2790","","-0.10%"
"08/16/2023","7.2981","7.2906","7.2990","7.2885","","0.23%"
"08/15/2023","7.2817","7.2806","7.2895","7.2688","","0.32%"
"08/14/2023","7.2585","7.2524","7.2653","7.2484","","0.30%"
"08/11/2023","7.2367","7.2223","7.2392","7.2223","","0.28%"
"08/10/2023","7.2165","7.2049","7.2186","7.2036","","0.11%"
"08/09/2023","7.2085","7.2133","7.2147","7.1952","","-0.10%"
"08/08/2023","7.2160","7.2034","7.2217","7.2030","","0.33%"
"08/07/2023","7.1920","7.1894","7.1944","7.1835","","0.30%"
"08/04/2023","7.1706","7.1533","7.1864","7.1533","","0.08%"
"08/03/2023","7.1651","7.1855","7.1957","7.1657","","-0.36%"
"08/02/2023","7.1911","7.1676","7.1954","7.1653","","0.19%"
"08/01/2023","7.1775","7.1592","7.1790","7.1592","","0.49%"
"07/31/2023","7.1426","7.1438","7.1530","7.1349","","-0.09%"
"07/28/2023","7.1488","7.1639","7.1743","7.1492","","-0.34%"
"07/27/2023","7.1730","7.1354","7.1759","7.1201","","0.32%"
"07/26/2023","7.1503","7.1536","7.1623","7.1440","","0.23%"
"07/25/2023","7.1340","7.1529","7.1637","7.1321","","-0.72%"
"07/24/2023","7.1855","7.1860","7.2071","7.1821","","-0.01%"
"07/21/2023","7.1861","7.1663","7.1885","7.1617","","0.14%"
"07/20/2023","7.1761","7.1762","7.1888","7.1655","","-0.69%"
"07/19/2023","7.2260","7.1953","7.2270","7.1942","","0.66%"
"07/18/2023","7.1786","7.1611","7.1825","7.1611","","0.10%"
