"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","83.190","83.174","83.242","83.099","","0.03%"
"12/28/2023","83.169","83.268","83.318","83.125","","-0.11%"
"12/27/2023","83.263","83.163","83.368","83.163","","0.13%"
"12/26/2023","83.158","83.169","83.218","83.105","","-0.01%"
"12/25/2023","83.164","83.179","83.179","83.109","","0.00%"
"12/22/2023","83.166","83.221","83.275","83.102","","-0.06%"
"12/21/2023","83.214","83.166","83.291","83.156","","0.09%"
"12/20/2023","83.139","83.111","83.237","83.087","","0.04%"
"12/19/2023","83.106","83.153","83.228","83.070","","-0.05%"
"12/18/2023","83.144","83.018","83.173","82.910","","0.15%"
"12/15/2023","83.020","83.308","83.332","82.927","","-0.34%"
"12/14/2023","83.307","83.287","83.372","83.266","","-0.05%"
"12/13/2023","83.350","83.399","83.438","83.346","","-0.06%"
"12/12/2023","83.396","83.368","83.434","83.324","","0.06%"
"12/11/2023","83.350","83.409","83.451","83.349","","-0.09%"
"12/08/2023","83.425","83.354","83.465","83.335","","0.10%"
"12/07/2023","83.343","83.337","83.398","83.311","","0.01%"
"12/06/2023","83.332","83.325","83.381","83.286","","0.01%"
"12/05/2023","83.320","83.431","83.439","83.317","","-0.13%"
"12/04/2023","83.426","83.217","83.461","83.215","","0.20%"
"12/01/2023","83.260","83.356","83.375","83.240","","-0.12%"
"11/30/2023","83.357","83.359","83.419","83.290","","0.01%"
"11/29/2023","83.352","83.292","83.383","83.260","","0.01%"
"11/28/2023","83.340","83.358","83.399","83.292","","0.01%"
"11/27/2023","83.330","83.324","83.433","83.309","","-0.01%"
"11/24/2023","83.340","83.350","83.413","83.332","","0.04%"
"11/23/2023","83.305","83.276","83.368","83.265","","0.02%"
"11/22/2023","83.287","83.313","83.359","83.255","","-0.03%"
"11/21/2023","83.308","83.321","83.380","83.228","","-0.01%"
"11/20/2023","83.317","83.265","83.424","83.230","","0.09%"
"11/17/2023","83.244","83.161","83.303","83.161","","0.11%"
"11/16/2023","83.152","83.186","83.273","83.153","","-0.04%"
"11/15/2023","83.188","82.980","83.213","82.962","","0.26%"
"11/14/2023","82.973","83.209","83.278","82.906","","-0.25%"
"11/13/2023","83.180","83.309","83.343","83.201","","-0.15%"
"11/10/2023","83.309","83.302","83.499","83.224","","-0.01%"
"11/09/2023","83.315","83.232","83.341","83.216","","0.12%"
"11/08/2023","83.213","83.234","83.310","83.208","","-0.02%"
"11/07/2023","83.230","83.221","83.287","83.210","","0.01%"
"11/06/2023","83.218","83.107","83.263","83.085","","0.09%"
"11/03/2023","83.140","83.247","83.311","83.134","","-0.11%"
"11/02/2023","83.234","83.240","83.281","83.174","","0.00%"
"11/01/2023","83.237","83.278","83.337","83.225","","-0.02%"
"10/31/2023","83.256","83.260","83.293","83.221","","0.01%"
"10/30/2023","83.250","83.280","83.305","83.212","","-0.02%"
"10/27/2023","83.265","83.272","83.301","83.190","","0.03%"
"10/26/2023","83.243","83.163","83.269","83.131","","0.12%"
"10/25/2023","83.140","83.022","83.205","83.008","","0.16%"
"10/24/2023","83.010","83.031","83.102","82.956","","-0.07%"
"10/23/2023","83.071","83.160","83.206","83.085","","-0.10%"
"10/20/2023","83.150","83.150","83.216","83.012","","0.06%"
"10/19/2023","83.097","83.284","83.306","83.082","","-0.23%"
"10/18/2023","83.290","83.255","83.310","83.211","","0.06%"
"10/17/2023","83.240","83.215","83.289","83.186","","0.06%"
"10/16/2023","83.190","83.264","83.296","83.183","","-0.08%"
"10/13/2023","83.255","83.250","83.297","83.211","","-0.04%"
"10/12/2023","83.290","83.175","83.302","83.125","","0.16%"
"10/11/2023","83.160","83.217","83.246","83.116","","0.00%"
"10/10/2023","83.162","83.266","83.282","83.170","","-0.11%"
"10/09/2023","83.254","83.187","83.348","83.162","","0.16%"
"10/06/2023","83.118","83.218","83.303","83.121","","-0.10%"
"10/05/2023","83.200","83.214","83.305","83.178","","-0.06%"
"10/04/2023","83.250","83.235","83.346","83.173","","0.04%"
"10/03/2023","83.214","83.233","83.271","83.127","","0.05%"
"10/02/2023","83.174","83.165","83.234","83.123","","0.17%"
"09/29/2023","83.030","83.209","83.209","83.012","","-0.14%"
"09/28/2023","83.150","83.237","83.273","83.111","","-0.04%"
"09/27/2023","83.181","83.297","83.312","83.153","","-0.06%"
"09/26/2023","83.230","83.122","83.309","83.099","","0.12%"
"09/25/2023","83.130","83.057","83.179","83.029","","0.19%"
"09/22/2023","82.970","82.876","82.993","82.769","","-0.16%"
"09/21/2023","83.102","83.193","83.222","83.005","","0.22%"
"09/20/2023","82.920","83.261","83.297","82.924","","-0.47%"
"09/19/2023","83.310","83.250","83.344","83.170","","0.05%"
"09/18/2023","83.270","83.106","83.360","83.085","","0.24%"
"09/15/2023","83.069","83.063","83.202","82.981","","0.07%"
"09/14/2023","83.010","82.915","83.101","82.913","","0.09%"
"09/13/2023","82.934","82.873","83.039","82.855","","0.10%"
"09/12/2023","82.850","82.905","83.015","82.853","","-0.06%"
"09/11/2023","82.900","82.955","83.068","82.815","","-0.13%"
"09/08/2023","83.004","83.133","83.184","82.902","","-0.18%"
"09/07/2023","83.150","83.220","83.271","83.076","","-0.06%"
"09/06/2023","83.197","83.075","83.258","82.986","","0.20%"
"09/05/2023","83.033","82.753","83.097","82.712","","0.38%"
"09/04/2023","82.715","82.670","82.785","82.650","","0.03%"
"09/01/2023","82.689","82.647","82.784","82.576","","-0.02%"
"08/31/2023","82.702","82.678","82.799","82.582","","0.11%"
"08/30/2023","82.607","82.593","82.819","82.568","","0.04%"
"08/29/2023","82.574","82.646","82.842","82.576","","-0.03%"
"08/28/2023","82.600","82.585","82.662","82.527","","-0.04%"
"08/25/2023","82.637","82.605","82.740","82.532","","0.07%"
"08/24/2023","82.580","82.579","82.646","82.359","","0.09%"
"08/23/2023","82.508","83.082","83.090","82.449","","-0.64%"
"08/22/2023","83.040","83.113","83.122","82.909","","-0.06%"
"08/21/2023","83.090","83.193","83.217","83.021","","-0.06%"
"08/18/2023","83.140","83.086","83.221","83.018","","0.00%"
"08/17/2023","83.140","83.224","83.262","82.991","","-0.10%"
"08/16/2023","83.222","83.243","83.428","83.077","","-0.02%"
"08/15/2023","83.239","83.208","83.468","83.177","","0.07%"
"08/14/2023","83.180","82.877","83.292","82.877","","0.34%"
"08/11/2023","82.898","82.811","82.911","82.737","","0.31%"
"08/10/2023","82.644","82.839","82.880","82.590","","-0.27%"
"08/09/2023","82.871","82.877","82.880","82.797","","-0.01%"
"08/08/2023","82.880","82.760","82.984","82.760","","0.12%"
"08/07/2023","82.778","82.740","82.785","82.689","","0.10%"
"08/04/2023","82.696","82.762","82.892","82.674","","-0.07%"
"08/03/2023","82.755","82.699","82.815","82.665","","0.02%"
"08/02/2023","82.735","82.330","82.788","82.313","","0.47%"
"08/01/2023","82.345","82.235","82.345","82.205","","0.12%"
"07/31/2023","82.245","82.203","82.301","82.203","","-0.01%"
"07/28/2023","82.253","82.178","82.377","82.178","","0.12%"
"07/27/2023","82.155","81.929","82.234","81.869","","0.24%"
"07/26/2023","81.955","81.876","82.068","81.855","","0.12%"
"07/25/2023","81.855","81.799","81.904","81.667","","0.07%"
"07/24/2023","81.795","82.010","82.045","81.778","","-0.24%"
"07/21/2023","81.990","82.074","82.088","81.922","","-0.11%"
"07/20/2023","82.080","82.044","82.080","81.897","","0.03%"
"07/19/2023","82.055","82.062","82.158","82.015","","-0.01%"
"07/18/2023","82.065","82.040","82.093","81.957","","0.02%"
"07/17/2023","82.050","82.132","82.215","81.979","","-0.03%"
"07/14/2023","82.077","82.011","82.215","81.943","","0.03%"
"07/13/2023","82.050","81.982","82.150","81.952","","0.08%"
"07/12/2023","81.985","82.392","82.400","81.945","","-0.50%"
"07/11/2023","82.395","82.526","82.551","82.322","","-0.16%"
"07/10/2023","82.525","82.645","82.689","82.515","","-0.11%"
"07/07/2023","82.615","82.763","82.764","82.522","","-0.18%"
"07/06/2023","82.766","82.391","82.818","82.293","","0.44%"
"07/05/2023","82.403","82.023","82.413","81.995","","0.52%"
"07/04/2023","81.974","81.978","82.059","81.892","","0.04%"
"07/03/2023","81.945","82.036","82.058","81.755","","-0.18%"
"06/30/2023","82.096","82.075","82.128","81.991","","-0.01%"
"06/29/2023","82.105","82.012","82.121","81.978","","0.09%"
"06/28/2023","82.030","81.971","82.091","81.969","","0.02%"
"06/27/2023","82.011","82.029","82.059","81.942","","0.04%"
"06/26/2023","81.975","81.950","82.071","81.935","","-0.01%"
"06/23/2023","81.985","81.912","82.083","81.912","","0.03%"
"06/22/2023","81.960","81.941","82.010","81.875","","0.02%"
"06/21/2023","81.940","81.981","82.140","81.940","","-0.08%"
"06/20/2023","82.005","81.915","82.173","81.915","","0.11%"
"06/19/2023","81.915","81.976","82.013","81.867","","0.00%"
"06/16/2023","81.915","81.913","82.025","81.825","","0.01%"
"06/15/2023","81.905","82.045","82.260","81.905","","-0.07%"
"06/14/2023","81.960","82.231","82.335","81.898","","-0.34%"
"06/13/2023","82.240","82.384","82.481","82.146","","-0.21%"
"06/12/2023","82.415","82.458","82.517","82.415","","-0.04%"
"06/09/2023","82.445","82.505","82.507","82.396","","-0.09%"
"06/08/2023","82.516","82.641","82.641","82.493","","0.01%"
"06/07/2023","82.510","82.510","82.584","82.450","","-0.01%"
"06/06/2023","82.515","82.511","82.655","82.472","","-0.01%"
"06/05/2023","82.525","82.434","82.685","82.394","","0.15%"
"06/02/2023","82.403","82.271","82.424","82.257","","0.15%"
"06/01/2023","82.277","82.672","82.674","82.268","","-0.50%"
"05/31/2023","82.690","82.629","82.777","82.610","","0.00%"
"05/30/2023","82.692","82.554","82.815","82.554","","0.09%"
"05/29/2023","82.614","82.589","82.703","82.534","","0.05%"
"05/26/2023","82.575","82.745","82.745","82.522","","-0.20%"
"05/25/2023","82.742","82.678","82.809","82.653","","0.08%"
"05/24/2023","82.675","82.855","82.886","82.564","","-0.19%"
"05/23/2023","82.835","82.825","82.876","82.743","","-0.01%"
"05/22/2023","82.845","82.798","82.895","82.727","","-0.07%"
"05/19/2023","82.905","82.770","82.953","82.632","","0.22%"
"05/18/2023","82.725","82.443","82.778","82.347","","0.39%"
"05/17/2023","82.405","82.248","82.447","82.248","","0.14%"
"05/16/2023","82.291","82.237","82.319","82.181","","0.03%"
"05/15/2023","82.267","82.249","82.402","82.207","","0.08%"
"05/12/2023","82.201","82.127","82.252","82.118","","0.12%"
"05/11/2023","82.100","81.919","82.190","81.887","","0.21%"
"05/10/2023","81.925","82.125","82.125","81.882","","-0.24%"
"05/09/2023","82.125","81.782","82.175","81.779","","0.42%"
"05/08/2023","81.780","81.692","81.835","81.654","","0.07%"
"05/05/2023","81.725","81.719","81.835","81.671","","0.00%"
"05/04/2023","81.725","81.749","81.832","81.663","","-0.07%"
"05/03/2023","81.780","81.785","81.887","81.670","","0.01%"
"05/02/2023","81.770","81.810","81.965","81.720","","-0.02%"
"05/01/2023","81.790","81.810","81.818","81.720","","0.06%"
"04/28/2023","81.745","81.735","81.875","81.719","","0.04%"
"04/27/2023","81.715","81.733","81.868","81.596","","-0.06%"
"04/26/2023","81.760","81.995","82.033","81.683","","-0.28%"
"04/25/2023","81.990","81.891","82.055","81.869","","0.04%"
"04/24/2023","81.960","82.078","82.117","81.850","","-0.12%"
"04/21/2023","82.055","82.145","82.220","82.011","","-0.10%"
"04/20/2023","82.140","82.319","82.359","82.043","","-0.17%"
"04/19/2023","82.280","82.084","82.280","82.053","","0.21%"
"04/18/2023","82.105","82.015","82.125","81.959","","0.12%"
"04/17/2023","82.005","81.913","82.094","81.864","","0.20%"
"04/14/2023","81.845","81.699","81.945","81.567","","0.21%"
"04/13/2023","81.675","82.018","82.035","81.631","","-0.35%"
"04/12/2023","81.960","82.089","82.133","81.940","","-0.13%"
"04/11/2023","82.070","81.968","82.175","81.942","","0.10%"
"04/10/2023","81.985","81.838","82.045","81.772","","0.12%"
"04/07/2023","81.885","81.827","81.915","81.785","","0.05%"
"04/06/2023","81.840","81.958","82.075","81.810","","-0.13%"
"04/05/2023","81.945","82.119","82.225","81.841","","-0.20%"
"04/04/2023","82.110","82.234","82.294","82.075","","-0.12%"
"04/03/2023","82.205","82.377","82.487","82.185","","0.02%"
"03/31/2023","82.185","82.083","82.290","82.055","","0.10%"
"03/30/2023","82.100","82.253","82.294","82.029","","-0.13%"
"03/29/2023","82.206","82.187","82.398","82.187","","0.01%"
"03/28/2023","82.200","82.194","82.303","82.112","","0.00%"
"03/27/2023","82.200","82.365","82.445","82.200","","-0.17%"
"03/24/2023","82.339","82.243","82.510","82.194","","0.09%"
"03/23/2023","82.265","82.528","82.555","82.056","","-0.32%"
"03/22/2023","82.525","82.692","82.739","82.395","","-0.22%"
"03/21/2023","82.704","82.542","82.733","82.542","","0.21%"
"03/20/2023","82.530","82.510","82.725","82.468","","-0.01%"
"03/17/2023","82.540","82.609","82.694","82.434","","-0.10%"
"03/16/2023","82.625","82.755","82.830","82.582","","-0.34%"
"03/15/2023","82.907","82.288","82.919","82.225","","0.79%"
"03/14/2023","82.260","82.287","82.567","82.241","","0.00%"
"03/13/2023","82.263","81.700","82.312","81.700","","0.36%"
"03/10/2023","81.965","82.026","82.194","81.821","","-0.07%"
"03/09/2023","82.025","81.943","82.065","81.762","","0.09%"
"03/08/2023","81.955","82.012","82.300","81.837","","-0.09%"
"03/07/2023","82.025","81.872","82.025","81.737","","0.26%"
"03/06/2023","81.815","81.754","81.955","81.595","","0.13%"
"03/03/2023","81.710","82.361","82.425","81.710","","-0.78%"
"03/02/2023","82.355","82.415","82.623","82.355","","-0.10%"
"03/01/2023","82.435","82.588","82.628","82.365","","-0.25%"
"02/28/2023","82.645","82.666","82.761","82.532","","-0.01%"
"02/27/2023","82.652","82.867","82.958","82.609","","-0.33%"
"02/24/2023","82.925","82.644","83.027","82.643","","0.37%"
"02/23/2023","82.618","82.797","82.857","82.561","","-0.26%"
"02/22/2023","82.835","82.844","82.914","82.767","","-0.02%"
"02/21/2023","82.849","82.670","82.869","82.670","","0.15%"
"02/20/2023","82.721","82.719","82.767","82.612","","-0.05%"
"02/17/2023","82.765","82.698","82.865","82.698","","0.06%"
"02/16/2023","82.715","82.695","82.823","82.589","","-0.06%"
"02/15/2023","82.765","82.852","82.969","82.765","","-0.18%"
"02/14/2023","82.915","82.597","83.024","82.556","","0.39%"
"02/13/2023","82.597","82.557","82.775","82.557","","0.09%"
"02/10/2023","82.520","82.516","82.648","82.320","","-0.02%"
"02/09/2023","82.540","82.681","82.699","82.403","","-0.14%"
"02/08/2023","82.655","82.734","82.757","82.467","","-0.26%"
"02/07/2023","82.870","82.760","82.888","82.612","","0.15%"
"02/06/2023","82.750","82.393","82.832","82.321","","0.63%"
"02/03/2023","82.233","82.066","82.338","81.754","","0.23%"
"02/02/2023","82.044","81.687","82.250","81.685","","0.35%"
"02/01/2023","81.757","81.764","82.053","81.698","","-0.01%"
"01/31/2023","81.769","81.599","82.099","81.575","","0.30%"
"01/30/2023","81.525","81.526","81.725","81.436","","0.01%"
"01/27/2023","81.515","81.487","81.677","81.470","","0.09%"
"01/26/2023","81.445","81.529","81.588","81.355","","-0.09%"
"01/25/2023","81.519","81.624","81.803","81.499","","-0.10%"
"01/24/2023","81.599","81.488","81.770","81.398","","0.14%"
"01/23/2023","81.483","80.908","81.493","80.864","","0.62%"
"01/20/2023","80.984","81.257","81.305","80.961","","-0.32%"
"01/19/2023","81.245","81.435","81.445","81.207","","-0.25%"
"01/18/2023","81.445","81.655","81.830","81.141","","-0.23%"
"01/17/2023","81.635","81.685","81.893","81.524","","-0.03%"
"01/16/2023","81.656","81.249","81.763","81.219","","0.46%"
"01/13/2023","81.285","81.115","81.500","81.115","","0.22%"
"01/12/2023","81.110","81.662","81.753","81.110","","-0.65%"
"01/11/2023","81.642","81.606","81.820","81.478","","0.01%"
"01/10/2023","81.630","82.208","82.338","81.605","","-0.67%"
"01/09/2023","82.180","82.216","82.452","82.100","","-0.12%"
"01/06/2023","82.275","82.582","82.762","82.275","","-0.39%"
"01/05/2023","82.596","82.740","82.833","82.427","","-0.09%"
"01/04/2023","82.667","82.800","82.940","82.667","","-0.14%"
"01/03/2023","82.779","82.679","83.016","82.646","","0.01%"
"01/02/2023","82.773","82.688","82.808","82.585","","0.03%"
"12/30/2022","82.745","82.785","82.836","82.540","","-0.05%"
"12/29/2022","82.787","82.850","82.903","82.779","","0.03%"
"12/28/2022","82.763","82.847","82.956","82.746","","-0.09%"
"12/27/2022","82.835","82.655","82.886","82.655","","0.21%"
"12/26/2022","82.665","82.785","82.853","82.632","","-0.15%"
"12/23/2022","82.790","82.880","82.895","82.740","","-0.23%"
"12/22/2022","82.985","82.825","82.986","82.660","","0.12%"
"12/21/2022","82.885","82.715","82.910","82.654","","0.33%"
"12/20/2022","82.610","82.587","82.893","82.552","","-0.08%"
"12/19/2022","82.677","82.778","82.843","82.584","","-0.07%"
"12/16/2022","82.733","82.887","82.919","82.625","","-0.16%"
"12/15/2022","82.862","82.525","82.983","82.428","","0.44%"
"12/14/2022","82.495","82.626","82.731","82.419","","0.11%"
"12/13/2022","82.403","82.662","82.922","82.380","","-0.30%"
"12/12/2022","82.647","82.421","82.752","82.421","","0.28%"
"12/09/2022","82.420","82.249","82.494","82.091","","0.16%"
"12/08/2022","82.290","82.272","82.472","82.254","","0.09%"
"12/07/2022","82.216","82.406","82.778","82.186","","-0.33%"
"12/06/2022","82.490","81.884","82.645","81.884","","0.72%"
"12/05/2022","81.900","81.260","81.910","81.190","","0.57%"
"12/02/2022","81.438","81.188","81.528","81.108","","0.38%"
"12/01/2022","81.130","81.137","81.330","80.990","","-0.30%"
"11/30/2022","81.374","81.655","81.660","81.258","","-0.31%"
"11/29/2022","81.626","81.529","81.750","81.529","","-0.03%"
"11/28/2022","81.650","81.800","81.843","81.507","","-0.08%"
"11/25/2022","81.713","81.668","81.766","81.445","","0.09%"
"11/24/2022","81.642","81.633","81.802","81.597","","0.01%"
"11/23/2022","81.633","81.743","81.949","81.632","","-0.11%"
"11/22/2022","81.719","81.704","81.830","81.574","","-0.01%"
"11/21/2022","81.728","81.672","81.951","81.596","","0.10%"
"11/18/2022","81.644","81.537","81.812","81.517","","0.13%"
"11/17/2022","81.540","81.454","81.859","81.435","","0.06%"
"11/16/2022","81.495","81.115","81.585","81.115","","0.50%"
"11/15/2022","81.091","80.995","81.475","80.708","","0.12%"
"11/14/2022","80.992","80.527","81.312","80.527","","0.60%"
"11/11/2022","80.505","80.588","81.002","80.483","","-0.17%"
"11/10/2022","80.640","81.430","81.930","80.634","","-0.88%"
"11/09/2022","81.355","81.350","81.645","81.215","","-0.03%"
"11/08/2022","81.380","81.814","82.039","81.224","","-0.55%"
"11/07/2022","81.832","82.078","82.348","81.820","","-0.18%"
"11/04/2022","81.982","82.697","82.740","81.978","","-0.91%"
"11/03/2022","82.738","82.873","82.976","82.691","","0.00%"
"11/02/2022","82.739","82.680","82.838","82.631","","0.10%"
"11/01/2022","82.660","82.797","82.808","82.486","","-0.14%"
"10/31/2022","82.780","82.369","82.873","82.321","","0.62%"
"10/28/2022","82.268","82.356","82.507","82.268","","-0.15%"
"10/27/2022","82.393","82.029","82.575","82.029","","0.57%"
"10/26/2022","81.928","82.468","82.541","81.966","","-0.72%"
"10/25/2022","82.523","82.757","82.856","82.400","","-0.29%"
"10/24/2022","82.761","82.615","82.882","82.584","","0.27%"
"10/21/2022","82.541","82.835","83.099","82.538","","-0.34%"
"10/20/2022","82.825","82.982","83.268","82.508","","-0.23%"
"10/19/2022","83.020","82.279","83.108","82.268","","0.88%"
"10/18/2022","82.298","82.142","82.388","82.006","","0.13%"
"10/17/2022","82.189","82.418","82.435","82.099","","-0.22%"
"10/14/2022","82.367","82.209","82.450","82.128","","0.21%"
"10/13/2022","82.192","82.199","82.680","82.120","","0.02%"
"10/12/2022","82.177","82.255","82.382","82.168","","-0.12%"
"10/11/2022","82.273","82.415","82.514","82.102","","-0.14%"
"10/10/2022","82.385","82.695","82.710","82.251","","-0.54%"
"10/07/2022","82.832","82.276","82.832","82.102","","0.91%"
